센터명,시도,시군구,우편번호,주소1,주소2,대표전화번호,FAX번호,홈페이지
서울특별시학교밖청소년지원센터,서울특별시,중구,4543,서울특별시 중구 을지로11길 23 (수표동),비어있음,02-2285-1318,비어있음,https://www.teen1318.or.kr/
서울종로구학교밖청소년지원센터,서울특별시,종로구,3065,서울특별시 종로구,명륜길 90,02-742-1318,02-762-1319,http://www.jongno1318.or.kr
서울중구학교밖청소년지원센터,서울특별시,중구,4596,서울특별시 중구,동호로 5길 19,02-2250-0543,비어있음,비어있음
서울용산구학교밖청소년지원센터,서울특별시,용산구,4316,서울특별시 용산구,백범로 329 용산꿈나무종합타운 4층 용산구청소년상담복지센터,02-3273-5825,비어있음,http://www.dodoit.or.kr
서울성동구학교밖청소년지원센터,서울특별시,성동구,4718,서울특별시 성동구,행당로6길 24-15 성동구청소년상담복지센터,02-2296-1318,비어있음,https://www.sdfac.or.kr/kor/tcwc/main.do
서울광진구학교밖청소년지원센터,서울특별시,광진구,5072,서울특별시 광진구,아차산로 24길 17 자양공공힐링센터3층,02-2205-2300,비어있음,http://www.light1318.or.kr
서울동대문구학교밖청소년지원센터,서울특별시,동대문구,2586,서울특별시 동대문구,"천호대로 2길 23-9 신설동복지지원센터3,4층",02-2237-1318,비어있음,비어있음
서울중랑구학교밖청소년지원센터,서울특별시,중랑구,2254,서울특별시 중랑구,용마산로 217 3층,02-490-0222,비어있음,비어있음
서울성북구학교밖청소년지원센터,서울특별시,성북구,2840,서울특별시 성북구,동소문로26다길 8-2 성북구청소년지원센터,02-3292-1785,비어있음,비어있음
서울강북구학교밖청소년지원센터,서울특별시,강북구,1012,서울특별시 강북구,4.19로 74 강북청소년수련관 3층,02-6715-6665,비어있음,비어있음
서울도봉구학교밖청소년지원센터,서울특별시,도봉구,1412,서울특별시 도봉구,노해로 69길 132 창동문화체육센터 1층,02-6956-4505,비어있음,http://www.db1318.or.kr/
서울노원구학교밖청소년지원센터,서울특별시,노원구,1616,서울특별시 노원구,"수락산로 212-19, 3층    ",02-930-1388,비어있음,https://www.nowonyouthcenter.org/
서울은평구학교밖청소년지원센터,서울특별시,은평구,3476,서울특별시 은평구,백련산로 4길 16 서울시립 은평청소년수련관 2층,02-382-5966,비어있음,비어있음
서울서대문구학교밖청소년지원센터,서울특별시,서대문구,3745,서울특별시 서대문구 독립문로12길 34 (천연동),2층 서대문구학교밖청소년지원센터,02-313-1388,비어있음,비어있음
서울마포구학교밖청소년지원센터,서울특별시,마포구,4016,서울특별시 마포구,희우정로 77 상가동 마포구청소년상담복지센터,02-6376-9900,비어있음,비어있음
서울양천구학교밖청소년지원센터,서울특별시,양천구,8067,서울특별시 양천구,"남부순환로 83길 53, 2층 양천구 청소년지원센터 꿈드림",02-2645-1318,비어있음,https://www.yangcheon1388.or.kr/
서울강서구학교밖청소년지원센터,서울특별시,강서구,7609,서울특별시 강서구 초원로11길 19 (방화동),2층,02-3662-1388,02-3661-0924,비어있음
서울구로구학교밖청소년지원센터,서울특별시,구로구,8254,서울특별시 구로구 고척로1길 18 (오류동),구로구청소년지원센터꿈드림,02-863-1318,비어있음,비어있음
서울금천구학교밖청소년지원센터,서울특별시,금천구,8645,서울특별시 금천구,독산로32다길 17,02-803-1873,비어있음,비어있음
서울영등포구학교밖청소년지원센터,서울특별시,영등포구,7369,서울특별시 영등포구,도영로 22길 36 해광빌딩 2층,02-2637-1318,02-2636-2071,http://www.young1318.com/sub05/sub01.php
서울동작구학교밖청소년지원센터,서울특별시,동작구,7062,서울특별시 동작구,여의대방로 20길 61 시립보라매청소년센터 슬기동 2층,02-834-1358,비어있음,www.djyc1388.or.kr/
서울관악구학교밖청소년지원센터,서울특별시,관악구,8790,서울특별시 관악구,남부순환로234길 73 싱글벙글교육센터 벙글동 4층,02-877-9400,비어있음,http://www.go1318.or.kr
서울서초구학교밖청소년지원센터,서울특별시,서초구,6703,서울특별시 서초구,"방배로 5길 11 2층, 서초구청소년상담복지센터  ",02-525-9128,비어있음,비어있음
서울강남구학교밖청소년지원센터,서울특별시,강남구,6362,서울특별시 강남구,광평로 144 수서청소년수련관 2층,02-2226-8555,비어있음,비어있음
서울송파구학교밖청소년지원센터,서울특별시,송파구,5807,서울특별시 송파구,"송파대로14길 7, 송파구청소년지원센터 꿈드림   ",02-3402-1318,070-4369-1318,https://spkdream.modoo.at/
서울강동구학교밖청소년지원센터,서울특별시,강동구,5211,서울특별시 강동구,아리수로93길 47 시립강동청소년센터 2층,02-6252-1388,비어있음,비어있음
부산광역시학교밖청소년지원센터,부산광역시,부산진구,47247,부산광역시 부산진구 서전로 43 (전포동),", 6층",051-304-1318,비어있음,http://www.cando.or.kr
부산중구학교밖청소년지원센터,부산광역시,중구,48954,부산광역시 중구,남포길 39-2 3층,051-245-1388,비어있음,비어있음
부산서구학교밖청소년지원센터,부산광역시,서구,49206,부산광역시 서구 시약로 125 (서대신동3가),1층,051-243-0701,비어있음,http://www.flyseogu1388.or.kr/
부산동구학교밖청소년지원센터,부산광역시,동구,48723,부산광역시 동구,"범곡로 9(3층, 동구청소년상담복지센터)    ",051-632-1388,비어있음,비어있음
부산영도구학교밖청소년지원센터,부산광역시,영도구,49113,부산광역시 영도구,"절영로 321, 함지골수련관 1층   ",051-405-5224,비어있음,http://busanyouth.or.kr/
부산진구학교밖청소년지원센터,부산광역시,부산진구,47209,부산광역시 부산진구,"동평로405번길85 ,2층     ",051-868-0905,비어있음,비어있음
부산동래구학교밖청소년지원센터,부산광역시,동래구,47710,부산광역시 동래구,"중앙대로 1523 SK허브스카이 A3동 05,06호  ",051-555-1389,비어있음,http://www.1388youth.kr
부산남구학교밖청소년지원센터,부산광역시,남구,48494,부산광역시 남구,"유엔평화로 24, 5층 남구청소년상담복지센터   ",051-621-4831,비어있음,비어있음
부산북구학교밖청소년지원센터,부산광역시,북구,46579,부산광역시 북구,덕천로 3,051-334-3003,051-309-4118,https://www.bsbukgu.go.kr/youth/index.bsbukgu
부산해운대구학교밖청소년지원센터,부산광역시,해운대구,48088,부산광역시 해운대구,재반로 151-21 해운대청소년수련관 4층,051-715-1388,비어있음,비어있음
부산사하구학교밖청소년지원센터,부산광역시,사하구,49320,부산광역시 사하구,"대티로 59, 대티까지어울림센터 3층   ",051-207-7142,비어있음,https://saha1388.kr/
부산금정구학교밖청소년지원센터,부산광역시,금정구,46267,부산광역시 금정구,"기찰로 96번길 47, 3층   ",051-714-2079,비어있음,비어있음
부산강서구학교밖청소년지원센터,부산광역시,강서구,46700,부산광역시 강서구,"대저로63번길 31, 강서구종합사회복지관 2층   ",051-972-4595,비어있음,비어있음
부산연제구학교밖청소년지원센터,부산광역시,연제구,47533,부산광역시 연제구 화지로52번길 7 (거제동),해맞이둥지 4층,051-506-1385,비어있음,비어있음
부산수영구학교밖청소년지원센터,부산광역시,수영구,48264,부산광역시 수영구,"수영로 521번길 77, 청소년문화의집 3층  ",051-759-8422,비어있음,http://meetyou.kr
부산사상구학교밖청소년지원센터,부산광역시,사상구,46931,부산광역시 사상구,덕상로 129,051-316-2214,비어있음,비어있음
부산기장군학교밖청소년지원센터,부산광역시,기장군,46069,부산광역시 기장군,기장읍 차성서로 86 대라다목적도서관 4층,051-792-4926,비어있음,비어있음
대구광역시학교밖청소년지원센터,대구광역시,남구,42409,대구광역시 남구 명덕로34길 16 (대명동),", 2층 대구광역시학교밖청소년지원센터 꿈드림",053-431-1388,비어있음,비어있음
대구중구학교밖청소년지원센터,대구광역시,중구,41919,대구광역시 중구,국채보상로 541 8층,053-422-2121,053-422-6789,비어있음
대구동구학교밖청소년지원센터,대구광역시,동구,41165,대구광역시 동구 화랑로 439 (방촌동),3층,053-963-9400,053-984-1316,https://ansimdream.or.kr
대구서구학교밖청소년지원센터,대구광역시,서구,41770,대구광역시 서구,"서대구로 222, 3층    ",053-216-8310,비어있음,비어있음
대구남구학교밖청소년지원센터,대구광역시,남구,42452,대구광역시 남구,"현충로 64, 5층",053-652-8219,비어있음,비어있음
대구북구학교밖청소년지원센터,대구광역시,북구,41516,대구광역시 북구,검단로 71-17(산격동) 북구청소년회관 2층,053-384-6985,053-665-2199,www.bukguzzang.co.kr
대구수성구학교밖청소년지원센터,대구광역시,수성구,42027,대구광역시 수성구,"달구벌대로 2451, 5층    ",053-666-4205,053-666-4249,비어있음
대구달서구학교밖청소년지원센터,대구광역시,달서구,42613,대구광역시 달서구 서당로 30 (신당동),달서구학교밖청소년지원센터,053-592-1378,비어있음,비어있음
대구달성군학교밖청소년지원센터,대구광역시,달성군,43017,대구광역시 달성군 현풍읍 테크노중앙대로 231,3층,053-614-1389,비어있음,비어있음
인천광역시학교밖청소년지원센터,인천광역시,동구,22573,인천광역시 동구 박문로 1 (송림동),", 청소년센터 1층",032-721-2330,비어있음,비어있음
인천중구학교밖청소년지원센터,인천광역시,중구,22309,인천광역시 중구,참외전로 72번길 25 동인천동주민센터 3층,032-765-1009,비어있음,http://www.junggu1388.kr/
인천동구학교밖청소년지원센터,인천광역시,동구,22556,인천광역시 동구 송림로 80 (송림동),4층,032-777-1383,032-766-1387,http://www.dream1388.or.kr
인천미추홀구학교밖청소년지원센터,인천광역시,미추홀구,22136,인천광역시 미추홀구,주안로 82 청소년지원센터 2층,비어있음,비어있음,비어있음
인천연수구학교밖청소년지원센터,인천광역시,연수구,21913,인천광역시 연수구,비류대로235번길 2층,032-822-9840,032-822-9842,https://www.ysyouth.or.kr/
인천남동구학교밖청소년지원센터,인천광역시,남동구,21589,인천광역시 남동구,"소래로 645, 남동구평생학습관 4층   ",032-471-1318,비어있음,비어있음
인천부평구학교밖청소년지원센터,인천광역시,부평구,21303,인천광역시 부평구 산청로 129 (청천동),2층,032-509-8916,032-509-8917,비어있음
